,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
101,Uzbekistan,Asia,34218719,208271,1214,1525,3,200512,640,6234,23,6086,45,1377915,40268
102,Montenegro,Europe,628189,206676,,2485,,191962,,12229,60,329003,3956,1077946,1715958
103,Kyrgyzstan,Asia,6690492,192158,870,2838,2,181426,201,7894,131,28721,424,1907195,285061
104,Afghanistan,Asia,40282094,159070,95,7386,2,146047,26,5637,1124,3949,183,839250,20834
105,Uganda,Africa,47969779,158933,,3437,,98979,,56517,435,3313,72,2279236,47514
106,Namibia,Africa,2611987,154664,,3833,,142900,,7931,37,59213,1467,904022,346105
107,Ghana,Africa,32074630,154190,,1350,,145408,,7432,5,4807,42,2158619,67300
108,Réunion,Africa,905190,133617,,462,,86669,,46486,60,147612,510,1424291,1573472
109,Luxembourg,Europe,641712,129092,,940,,104438,,23714,19,201168,1465,3902682,6081672
110,Laos,Asia,7438695,127347,1281,507,7,7660,,119180,,17120,68,953282,128152
111,Rwanda,Africa,13447889,126133,,1413,,45522,,79198,6,9379,105,4430294,329442
112,El Salvador,North America,6536807,123577,,3837,,116742,,2998,49,18905,587,1557257,238229
113,Cambodia,Asia,17076516,120877,30,3015,,117146,17,716,,7079,177,2786251,163163
114,Jamaica,North America,2981151,114986,,2551,,67481,,44954,7,38571,856,764707,256514
115,Cameroon,Africa,27565985,109666,,1853,,106050,,1763,13,3978,67,1751774,63548
116,Maldives,Asia,555251,106595,,265,,98238,,8092,25,191976,477,1968351,3544975
117,Trinidad and Tobago,North America,1406495,102024,,3224,,81602,,17198,22,72538,2292,543199,386208
118,Angola,Africa,34443727,94275,,1870,,84927,,7478,12,2737,54,1331307,38652
119,Senegal,Africa,17425022,83174,,1912,,76244,,5018,6,4773,110,957428,54946
120,DRC,Africa,93762870,82984,,1278,,50930,,30776,,885,14,846704,9030
121,Malawi,Africa,19893024,82975,,2480,,65842,,14653,67,4171,125,515907,25934
122,Ivory Coast,Africa,27386697,79435,,763,,75298,,3374,,2900,28,1325069,48384
123,Guadeloupe,North America,400230,73959,,753,,2250,,70956,23,184791,1881,723515,1807748
124,Martinique,North America,374815,71193,,813,,104,,70276,35,189942,2169,548655,1463802
125,French Guiana,South America,310633,70483,,352,,11254,,58877,15,226901,1133,544294,1752209
126,Eswatini,Africa,1178731,67935,,1365,,65968,,602,11,57634,1158,446664,378936
127,Suriname,South America,594757,66633,1351,1221,5,49170,9,16242,12,112034,2053,199658,335697
128,Malta,Europe,443361,64377,,509,,54275,,9593,9,145202,1148,1211456,2732437
129,Fiji,Australia/Oceania,906488,59785,,746,,55236,,3803,,65952,823,486241,536401
130,Mauritania,Africa,4838313,55858,,911,,43772,,11175,30,11545,188,644730,133255
131,Madagascar,Africa,28789933,55827,,1169,,50381,,4277,224,1939,41,352115,12230
132,Cabo Verde,Africa,565321,54637,,378,,52108,,2151,23,96648,669,400982,709300
133,Guyana,South America,792420,53178,,1101,,39991,,12086,18,67108,1389,478261,603545
134,Sudan,Africa,45430032,52345,,3390,,40329,,8626,,1152,75,562941,12391
135,Syria,Asia,18157011,50784,,2953,,35013,,12818,,2797,163,146269,8056
136,Iceland,Europe,344667,49972,,44,,39766,,10162,3,144986,128,1508571,4376894
137,French Polynesia,Australia/Oceania,283419,47275,,636,,,,,7,166803,2244,,
138,Gabon,Africa,2306821,45405,,299,,39889,,5217,10,19683,130,1521001,659349
139,Belize,North America,408778,43115,,611,,33928,,8576,4,105473,1495,427718,1046333
140,Channel Islands,Europe,176340,37244,,124,,34061,,3059,,211206,703,1167766,6622241
141,Burundi,Africa,12437270,36654,,38,,773,,35843,,2947,3,345742,27799
142,Papua New Guinea,Australia/Oceania,9208808,36446,,596,,35798,,52,7,3958,65,249149,27056
143,Barbados,North America,287919,36386,652,271,,30413,562,5702,,126376,941,506309,1758512
144,Togo,Africa,8578306,36056,,263,,29378,,6415,,4203,31,649322,75693
145,Guinea,Africa,13682620,35602,,408,,31183,,4011,49,2602,30,578214,42259
146,Mayotte,Africa,282978,34903,,186,,2964,,31753,,123342,657,176919,625204
147,Curaçao,North America,165131,34368,,207,,22599,,11562,3,208126,1254,425088,2574247
148,Seychelles,Africa,99288,32846,,140,,27657,,5049,,330815,1410,,
149,Lesotho,Africa,2168502,31870,22,688,,20375,165,10807,,14697,317,367173,169321
150,Tanzania,Africa,62360050,31395,,745,,,,,7,503,12,,
151,Aruba,North America,107467,31338,,186,,29921,,1231,10,291606,1731,177885,1655252
152,Bahamas,North America,399052,31105,,719,,23064,,7322,7,77947,1802,201884,505909
153,Andorra,Europe,77456,29888,,142,,24030,,5716,31,385871,1833,249838,3225547
154,Mali,Africa,21150993,29039,,692,,24654,,3693,,1373,33,577274,27293
155,Haiti,North America,11617354,27819,,780,,24057,,2982,,2395,67,132422,11399
156,Benin,Africa,12613359,26036,,162,,25033,,841,5,2064,13,604310,47910
157,Mauritius,Africa,1275032,24903,,762,,22710,,1431,,19531,598,358675,281307
158,Somalia,Africa,16577570,24261,,1335,,13182,,9744,,1463,81,400466,24157
159,Congo,Africa,5727774,23244,,371,,18993,,3880,,4058,65,328562,57363
160,Burkina Faso,Africa,21787956,20290,,353,,19019,,918,,931,16,242231,11118
161,Timor-Leste,Asia,1357232,19865,,122,,19729,,14,,14636,90,226374,166791
162,Taiwan,Asia,23883434,18005,54,851,,16137,24,1017,,754,36,9890742,414126
163,Saint Lucia,North America,184925,17871,205,316,2,14213,215,3342,2,96639,1709,119462,646002
164,Nicaragua,North America,6746365,17604,,215,,4225,,13164,,2609,32,,
165,Tajikistan,Asia,9868433,17095,,124,,16966,,5,,1732,13,,
166,South Sudan,Africa,11396555,16547,,136,,12934,,3477,1,1452,12,310727,27265
