,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
123,Guadeloupe,North America,400230,73959,0,753,0,2250,0,70956,23,184791,1881,723515,1807748,0
124,French Guiana,South America,310611,69381,0,351,0,11254,0,57776,14,223369,1130,540888,1741368,0
125,Eswatini,Africa,1178698,67878,0,1363,0,65899,0,616,11,57587,1156,445841,378249,Africa
126,Suriname,South America,594743,65282,1404,1216,3,49161,14,14905,11,109765,2045,196708,330745,Americas
127,Malta,Europe,443358,64377,379,509,3,54275,704,9593,9,145203,1148,1211456,2732455,Europe
128,Fiji,Australia/Oceania,906470,59785,0,746,0,55236,0,3803,0,65954,823,486241,536412,WesternPacific
129,Martinique,North America,374816,59583,0,795,0,104,0,58684,1,158966,2121,488892,1304352,0
130,Madagascar,Africa,28787981,55827,0,1169,0,50381,0,4277,224,1939,41,352115,12231,Africa
131,Mauritania,Africa,4837978,55395,0,909,0,42625,0,11861,30,11450,188,640683,132428,Africa
132,Cabo Verde,Africa,565304,54367,0,376,0,51509,0,2482,23,96173,665,400982,709321,Africa
133,Guyana,South America,792410,52095,0,1096,0,39630,0,11369,15,65742,1383,473250,597229,Americas
134,Sudan,Africa,45427227,51802,0,3388,0,40329,0,8085,0,1140,75,562941,12392,EasternMediterranean
135,Syria,Asia,18155846,50748,0,2950,0,34803,0,12995,0,2795,162,146269,8056,EasternMediterranean
136,Iceland,Europe,344661,49972,1383,44,0,39766,992,10162,3,144989,128,1508571,4376970,Europe
137,French Polynesia,Australia/Oceania,283414,47132,0,636,0,0,0,0,7,166301,2244,0,0,0
138,Gabon,Africa,2306677,45405,0,299,0,39889,0,5217,10,19684,130,1521001,659391,Africa
139,Belize,North America,408759,41867,0,611,0,33350,0,7906,4,102425,1495,423318,1035618,Americas
140,Channel Islands,Europe,176336,36852,0,122,0,33575,0,3155,0,208987,692,1161014,6584101,0
141,Burundi,Africa,12436298,36654,0,38,0,773,0,35843,0,2947,3,345742,27801,Africa
142,Papua New Guinea,Australia/Oceania,9208344,36446,0,596,0,35798,0,52,7,3958,65,249149,27057,WesternPacific
143,Togo,Africa,8577774,35993,43,263,2,29067,133,6663,0,4196,31,647566,75493,Africa
144,Barbados,North America,287918,35734,0,269,0,29851,0,5614,0,124112,934,503806,1749825,Americas
145,Guinea,Africa,13681643,35602,0,408,0,31183,0,4011,49,2602,30,578214,42262,Africa
146,Mayotte,Africa,282960,34555,0,186,0,2964,0,31405,0,122120,657,176919,625244,0
147,Curaçao,North America,165129,33942,0,206,0,21771,0,11965,3,205548,1248,422498,2558594,0
148,Seychelles,Africa,99287,32846,0,140,0,27657,0,5049,0,330819,1410,0,0,Africa
149,Lesotho,Africa,2168456,31734,0,687,0,19915,0,11132,0,14634,317,364750,168207,Africa
150,Tanzania,Africa,62355382,31395,0,745,0,0,0,0,7,503,12,0,0,Africa
151,Aruba,North America,107466,30976,0,186,0,29510,0,1280,12,288240,1731,177885,1655268,0
152,Bahamas,North America,399042,30850,0,719,0,23052,0,7079,7,77310,1802,201237,504300,Americas
153,Andorra,Europe,77456,29888,0,142,0,24030,0,5716,31,385871,1833,249838,3225547,Europe
154,Mali,Africa,21149393,28755,0,692,0,24425,0,3638,0,1360,33,575273,27200,Africa
155,Haiti,North America,11616974,27819,0,780,0,24057,0,2982,0,2395,67,132422,11399,Americas
156,Benin,Africa,12612488,26036,0,162,0,25033,0,841,5,2064,13,604310,47914,Africa
157,Mauritius,Africa,1275026,24903,0,762,0,22710,0,1431,0,19531,598,358675,281308,Africa
158,Somalia,Africa,16576354,24261,0,1335,0,13182,0,9744,0,1464,81,400466,24159,EasternMediterranean
159,Congo,Africa,5727401,23244,0,371,0,18993,0,3880,0,4058,65,328562,57367,Africa
160,Burkina Faso,Africa,21786384,20249,0,339,0,18792,0,1118,0,929,16,242231,11118,Africa
161,Timor-Leste,Asia,1357164,19865,2,122,0,19729,0,14,0,14637,90,226374,166799,South-EastAsia
162,Taiwan,Asia,23883317,17951,66,851,0,16113,14,987,0,752,36,9843505,412150,WesternPacific
163,Saint Lucia,North America,184922,17666,135,314,0,13998,66,3354,2,95532,1698,118890,642920,Americas
164,Nicaragua,North America,6746149,17563,0,214,0,4225,0,13124,0,2603,32,0,0,Americas
165,Tajikistan,Asia,9867846,17095,0,124,0,16966,0,5,0,1732,13,0,0,Europe
166,South Sudan,Africa,11396196,16533,0,136,0,12934,0,3463,1,1451,12,310727,27266,Africa
167,Brunei ,Asia,443943,15901,0,98,0,15452,0,351,1,35818,221,697770,1571756,0
168,Equatorial Guinea,Africa,1473967,15492,0,178,0,13710,0,1604,5,10510,121,273437,185511,Africa
169,New Zealand,Australia/Oceania,5002100,15170,43,52,0,14090,39,1028,17,3033,10,5810145,1161541,WesternPacific
170,Djibouti,Africa,1010161,14984,0,189,0,14224,0,571,0,14833,187,267645,264953,EasternMediterranean
171,New Caledonia,Australia/Oceania,289733,14157,328,282,0,12810,64,1065,11,48862,973,98964,341570,0
172,Isle of Man,Europe,85727,14126,0,70,0,13755,0,301,1,164779,817,133676,1559322,0
173,CAR,Africa,4959262,13319,0,108,0,6859,0,6352,2,2686,22,74519,15026,0
174,Hong Kong,Asia,7590841,13066,18,213,0,12327,0,526,0,1721,28,31341334,4128836,WesternPacific
175,Cayman Islands,North America,66913,11666,0,15,0,8093,0,3558,6,174346,224,215963,3227519,0
176,Gambia,Africa,2521265,11572,0,347,0,9844,0,1381,4,4590,138,135608,53786,Africa
177,Gibraltar,Europe,33675,10935,0,100,0,9363,0,1472,6,324722,2970,471445,13999852,0
178,San Marino,Europe,34041,10639,0,103,0,8895,0,1641,5,312535,3026,116193,3413325,Europe
179,Faeroe Islands,Europe,49149,10584,0,15,0,7693,0,2876,5,215345,305,698000,14201713,0
180,Yemen,Asia,30838538,10308,0,1991,0,7046,0,1271,23,334,65,265253,8601,EasternMediterranean
181,Grenada,North America,113328,10188,470,204,0,6563,256,3421,0,89898,1800,115465,1018857,Americas
182,Bermuda,North America,61923,9144,0,110,0,7081,0,1953,0,147667,1776,734295,11858195,Americas
183,Eritrea,Africa,3622134,9002,0,88,0,8344,0,570,0,2485,24,23693,6541,Africa
